id,title,genres,original_language,popularity,release_date,budget,revenue,runtime,status,vote_average,vote_count
615656,Meg 2: The Trench,Action-Science Fiction-Horror,en,8763.998,2023-08-02,129000000.0,352056482.0,116.0,Released,7.079,1365.0
758323,The Pope's Exorcist,Horror-Mystery-Thriller,en,5953.227,2023-04-05,18000000.0,65675816.0,103.0,Released,7.433,545.0
533535,Deadpool & Wolverine,Action-Comedy-Science Fiction,en,5410.496,2024-07-24,200000000.0,1326387384.0,128.0,Released,7.765,3749.0
667538,Transformers: Rise of the Beasts,Action-Adventure-Science Fiction,en,5409.104,2023-06-06,200000000.0,407045464.0,127.0,Released,7.34,1007.0
693134,Dune: Part Two,Science Fiction-Adventure,en,4742.163,2024-02-27,190000000.0,683813734.0,167.0,Released,8.3,2770.0
912649,Venom: The Last Dance,Science Fiction-Action-Adventure,en,4674.885,2024-10-22,120000000.0,310000000.0,109.0,Released,6.522,603.0
640146,Ant-Man and the Wasp: Quantumania,Action-Adventure-Science Fiction,en,4425.387,2023-02-15,200000000.0,475766228.0,125.0,Released,6.507,2811.0
677179,Creed III,Drama-Action,en,3994.342,2023-03-01,75000000.0,269000000.0,116.0,Released,7.262,1129.0
614479,Insidious: The Red Door,Horror-Mystery-Thriller,en,3512.648,2023-07-05,16000000.0,175582093.0,107.0,Released,6.75,564.0
519182,Despicable Me 4,Animation-Family-Comedy-Action,en,3195.72,2024-06-20,100000000.0,810329715.0,94.0,Released,7.35,984.0
569094,Spider-Man: Across the Spider-Verse,Action-Adventure-Animation-Science Fiction,en,2550.738,2023-05-31,100000000.0,512609552.0,140.0,Released,8.64,1684.0
653346,Kingdom of the Planet of the Apes,Science Fiction-Adventure-Action,en,2419.072,2024-05-08,160000000.0,391407919.0,145.0,Released,6.868,1283.0
917496,Beetlejuice Beetlejuice,Comedy-Fantasy-Horror,en,2384.404,2024-09-04,100000000.0,402822428.0,105.0,Released,7.196,1044.0
572802,Aquaman and the Lost Kingdom,Action-Adventure-Fantasy,en,2141.691,2023-12-20,205000000.0,397860076.0,124.0,Released,6.786,756.0
594767,Shazam! Fury of the Gods,Action-Comedy-Fantasy-Adventure,en,2010.98,2023-03-15,125000000.0,133437105.0,130.0,Released,6.781,1602.0
455476,Knights of the Zodiac,Fantasy-Action-Adventure,en,1882.774,2023-04-27,60000000.0,6794519.0,113.0,Released,6.561,471.0
786892,Furiosa: A Mad Max Saga,Action-Adventure-Science Fiction,en,1872.179,2024-05-22,170000000.0,172775791.0,149.0,Released,7.652,2229.0
753342,Napoleon,History-War-Drama,en,1811.36,2023-11-22,165000000.0,213400000.0,158.0,Released,6.516,1282.0
573435,Bad Boys: Ride or Die,Action-Crime-Thriller-Comedy,en,1715.076,2024-06-05,100000000.0,331957666.0,115.0,Released,6.995,465.0
968051,The Nun II,Horror-Mystery-Thriller,en,1696.62,2023-09-06,38500000.0,257010000.0,110.0,Released,7.004,1073.0
670292,The Creator,Science Fiction-Action-Thriller,en,1595.817,2023-09-27,80000000.0,102000000.0,134.0,Released,7.186,796.0
945961,Alien: Romulus,Horror-Science Fiction,en,1496.056,2024-08-13,80000000.0,225439383.0,119.0,Released,7.213,628.0
