imdb_rating,imdb_votes,release_year,release_month,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Outros,Romance,Science Fiction,Thriller,War,Western,20th Century Fox,Columbia Pictures,Goldwyn,Mayer,Metro,Paramount Pictures,RKO Radio Pictures,Universal Pictures,Walt Disney Productions,Warner Bros. Pictures,popularity_per_budget,vote_weighted,runtime_per_budget,vote_popularity_weighted,budget_log,vote_count_log,continent_Africa,continent_America_do_Norte,continent_Asia,continent_Europa,continent_Outros
6.7,114450.0,1995,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17246843613031534,46.61375601680623,6.048708707286585,16.48637,2.7851226662208344,2.1861228037325624,False,True,False,False,False
6.6,20057.0,1993,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10247461444008296,38.11360264138763,6.103012224876539,11.8963,2.8825654255757986,1.926236627583198,False,True,False,False,False
8.3,483151.0,1941,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3465103312753783,69.17594103160866,8.127952657448951,40.5856,2.6838144269172495,2.2666462221113215,False,True,False,False,False
7.9,121043.0,2000,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18583446935619968,59.51195457889895,8.073240771385825,25.45854,2.8530874383644576,2.143959610356956,False,True,False,False,False
7.4,26278.0,2003,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09096224502526794,36.95457233095159,6.737944075945773,8.586,2.755684248962421,1.9683836306012874,False,True,False,False,False
7.0,216482.0,2005,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22332183852243012,53.58884715288498,6.442429377831203,28.56679,2.949278653807992,2.197039604224524,False,True,False,False,False
7.3,7150.0,2004,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04788151990630439,30.81476601871663,6.797789869537356,5.00595,2.7181314480634406,1.6985302777514544,False,False,True,False,False
8.4,744959.0,1979,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4482932761667643,74.87078313106733,8.047960088970159,67.7336176,2.905013932557636,2.3076830907334887,False,True,False,False,False
8.2,456038.0,1992,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.35539626021981424,66.62023894785231,7.435905851733516,49.08507,2.8612140418204977,2.2442079927481897,False,True,False,False,False
7.3,358017.0,2007,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4891548969487236,63.05414130315665,4.5471178581620855,65.513,2.9514145241647625,2.3033582412258626,False,True,False,False,False
7.4,265294.0,2005,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3585532311958819,58.54066537075621,5.251283058949878,47.19456,2.905875752542279,2.211636663409516,False,True,False,False,False
8.0,665488.0,1995,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4171303276177601,68.84614429958049,7.094614384765321,57.642959999999995,2.9004764455064254,2.3084382495346825,False,True,False,False,False
7.2,339459.0,2002,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42260591893888205,63.66768388367478,5.9905825939870905,55.909769999999995,2.919341532814849,2.2942547478897235,False,True,False,False,False
6.7,63038.0,1997,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15939098369296734,47.12449344472757,6.461075050870703,19.9995,2.9299948251044747,2.083621105656923,False,True,False,False,False
7.4,24542.0,2005,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16956979511402714,38.47404881170958,5.803209962834605,18.14562,2.7413984640023243,1.883418917934741,False,True,False,False,False
7.8,217076.0,1985,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333071574781138,62.65794789143621,8.160441900027884,44.94182,2.8635463083350072,2.2123754247435152,False,True,False,False,False
7.8,274907.0,2005,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1724845239241873,59.952149961208086,7.494056371378658,23.476499999999998,2.8985446631912657,2.196515436491692,False,True,False,False,False
7.7,148323.0,2000,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3093647415262676,62.8078080085577,6.697128996101281,38.582310899999996,2.7988014392758886,2.226977970261321,False,True,False,False,False
6.6,492014.0,2005,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42543745841434255,59.07186814228804,5.939595083107975,54.6318276,2.9805329715736746,2.308715491169657,False,True,False,False,False
6.4,252834.0,1996,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3291700632661937,55.20785249561831,5.560216516535708,40.16192,2.94780204478482,2.264491347627746,False,True,False,False,False
8.1,360836.0,1995,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.462661565629918,66.94768910092671,6.420116525193613,58.228,2.755684248962421,2.2373488498507657,False,True,False,False,False
