title,vote_average,vote_count,runtime,budget,popularity,imdb_rating,imdb_votes,release_year,release_month,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Outros,Romance,Science Fiction,Thriller,War,Western,20th Century Fox,Columbia Pictures,Goldwyn,Mayer,Metro,Paramount Pictures,RKO Radio Pictures,Universal Pictures,Walt Disney Productions,Warner Bros. Pictures,popularity_per_budget,vote_weighted,runtime_per_budget,vote_popularity_weighted,budget_log,vote_count_log,continent_Africa,continent_America_do_Norte,continent_Asia,continent_Europa,continent_Outros,cluster,pca_0,pca_1,pca_2
Four Rooms,5.9,7.900636613018005,98.0,15.201805169084134,2.7943,6.7,114450.0,1995,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17246843613031534,46.61375601680623,6.048708707286585,16.48637,2.7851226662208344,2.1861228037325624,False,True,False,False,False,0,1.0855902895715959,-0.46749999491380756,-0.6589643884689433
Judgment Night,6.5,5.863631175598097,109.0,16.860033043306743,1.8302,6.6,20057.0,1993,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10247461444008296,38.11360264138763,6.103012224876539,11.8963,2.8825654255757986,1.926236627583198,False,True,False,False,False,2,-0.5467763891302267,-0.03714076688732404,-0.6128480989939553
Citizen Kane,8.0,8.646992628951082,119.0,13.640833308858063,5.0732,8.3,483151.0,1941,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3465103312753783,69.17594103160866,8.127952657448951,40.5856,2.6838144269172495,2.2666462221113215,False,True,False,False,False,3,6.962038518605322,-4.238561126575489,-0.9813589694385517
Dancer in the Dark,7.9,7.533158807455563,140.0,16.341239282272525,3.2226,7.9,121043.0,2000,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18583446935619968,59.51195457889895,8.073240771385825,25.45854,2.8530874383644576,2.143959610356956,False,True,False,False,False,0,1.7097037177338397,-1.470344890424104,-0.1442377852818458
My Life Without Me,6.0,6.159095388491933,106.0,14.731801689838349,1.431,7.4,26278.0,2003,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09096224502526794,36.95457233095159,6.737944075945773,8.586,2.755684248962421,1.9683836306012874,False,True,False,False,False,5,-0.654050673444075,-0.7869390966680648,-0.3635051359515362
Jarhead,6.7,7.998335395952982,123.0,18.09217669086922,4.2637,7.0,216482.0,2005,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22332183852243012,53.58884715288498,6.442429377831203,28.56679,2.949278653807992,2.197039604224524,False,True,False,False,False,3,3.164488122972767,-0.19872582892059643,-0.7809652439865363
Walk on Water,6.9,4.465908118654584,103.0,14.151983508870947,0.7255,7.3,7150.0,2004,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04788151990630439,30.81476601871663,6.797789869537356,5.00595,2.7181314480634406,1.6985302777514544,False,False,True,False,False,5,-1.4718274648987308,-0.9509055969503365,-0.2121666105890254
Apocalypse Now,8.272,9.051110146405625,147.0,17.265498135541893,8.1883,8.4,744959.0,1979,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4482932761667643,74.87078313106733,8.047960088970159,67.7336176,2.905013932557636,2.3076830907334887,False,True,False,False,False,3,11.662017258702285,-2.9792223060395093,-1.3487817786436256
Unforgiven,7.9,8.432941638968646,130.0,16.48273883399067,6.2133,8.2,456038.0,1992,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.35539626021981424,66.62023894785231,7.435905851733516,49.08507,2.8612140418204977,2.2442079927481897,False,True,False,False,False,3,7.098948786047078,-1.9076708409923544,-0.7203051848079517
The Simpsons Movie,7.0,9.007734471879521,87.0,18.132998684833918,9.359,7.3,358017.0,2007,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4891548969487236,63.05414130315665,4.5471178581620855,65.513,2.9514145241647625,2.3033582412258626,False,True,False,False,False,3,6.337480482754412,0.6661446829305644,0.2686328541489822
A History of Violence,7.2,8.130647968160584,96.0,17.281246492014,6.5548,7.4,265294.0,2005,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3585532311958819,58.54066537075621,5.251283058949878,47.19456,2.905875752542279,2.211636663409516,False,True,False,False,False,3,4.3840788312475745,0.06438436494007557,-0.06426918400869715
Twelve Monkeys,7.6,9.058703197313223,129.0,17.182806422433504,7.5846,8.0,665488.0,1995,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4171303276177601,68.84614429958049,7.094614384765321,57.642959999999995,2.9004764455064254,2.3084382495346825,False,True,False,False,False,3,10.320705902783068,-1.8713523868949933,-1.44097691727823
8 Mile,7.14,8.917042560738766,111.0,17.529082649058825,7.8305,7.2,339459.0,2002,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42260591893888205,63.66768388367478,5.9905825939870905,55.909769999999995,2.919341532814849,2.2942547478897235,False,True,False,False,False,3,5.743753997418622,-0.328790599332205,0.07677992801348754
Absolute Power,6.7,7.033506484287697,121.0,17.72753358339242,2.985,6.7,63038.0,1997,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15939098369296734,47.12449344472757,6.461075050870703,19.9995,2.9299948251044747,2.083621105656923,False,True,False,False,False,0,0.5713482460475501,0.026148528431035323,-0.4433729708089889
Paradise Now,6.9,5.575949103146316,90.0,14.508658238524095,2.6298,7.4,24542.0,2005,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16956979511402714,38.47404881170958,5.803209962834605,18.14562,2.7413984640023243,1.883418917934741,False,True,False,False,False,5,-0.44271941675821314,-0.3131134107058885,0.11387588535395071
Brazil,7.7,8.13739583005665,143.0,16.52356082573315,5.8366,7.8,217076.0,1985,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333071574781138,62.65794789143621,8.160441900027884,44.94182,2.8635463083350072,2.2123754247435152,False,True,False,False,False,3,3.571651319740989,-1.704686363072268,0.3566679499864631
Walk the Line,7.5,7.993619994827744,136.0,17.147715103853763,3.1302,7.8,274907.0,2005,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1724845239241873,59.952149961208086,7.494056371378658,23.476499999999998,2.8985446631912657,2.196515436491692,False,True,False,False,False,3,3.890438231243214,-1.225126470630833,-1.197837311466491
Billy Elliot,7.593,8.271804031154709,110.0,15.424948670398354,5.0813,7.7,148323.0,2000,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3093647415262676,62.8078080085577,6.697128996101281,38.582310899999996,2.7988014392758886,2.226977970261321,False,True,False,False,False,0,2.489530188114161,-0.9566613833865244,0.4407625032906257
War of the Worlds,6.519,9.061492275239766,117.0,18.6983124881264,8.3804,6.6,492014.0,2005,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42543745841434255,59.07186814228804,5.939595083107975,54.6318276,2.9805329715736746,2.308715491169657,False,True,False,False,False,3,7.791853158705164,0.02045521355852961,-0.8368307715942894
Mars Attacks!,6.4,8.62622695244036,106.0,18.064005814299346,6.2753,6.4,252834.0,1996,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3291700632661937,55.20785249561831,5.560216516535708,40.16192,2.94780204478482,2.264491347627746,False,True,False,False,False,3,3.990111461043489,0.25362820626703975,-0.4780973699639975
Before Sunrise,8.0,8.368461137615839,101.0,14.731801689838349,7.2785,8.1,360836.0,1995,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.462661565629918,66.94768910092671,6.420116525193613,58.228,2.755684248962421,2.2373488498507657,False,True,False,False,False,3,5.920130216823962,-1.4614384030042533,0.5555568199520031
Hero,7.5,7.749322464660356,99.0,17.249497794707484,7.0378,7.9,191061.0,2002,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3856434888877339,58.11991848495267,5.424806814613325,52.7835,2.9041375615516505,2.1689762647612185,False,False,True,False,False,3,3.425369569214538,-0.12650843780786436,0.7448750902490184
Before Sunset,7.8,8.162516250140179,80.0,14.80876270134486,3.5573,8.1,303407.0,2004,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22502077279567104,63.667626751093394,5.060484587651781,27.74694,2.760564387649371,2.2151208407599206,False,True,False,False,False,3,4.341293215361217,-0.7843465135256872,-1.1307653283892878
Nausicaä of the Valley of the Wind,8.0,8.228443883004033,117.0,13.815511557963774,9.8054,8.0,191286.0,1984,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6618333738688429,65.82755106403226,7.897128596758379,78.4432,2.6956747101603242,2.222290440910619,False,False,True,False,False,3,3.956238321158241,-2.02303904888216,3.150011247194341
Miami Vice,6.0,7.513163545234075,132.0,18.72078534381011,5.1249,6.1,127750.0,2006,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25987301776542004,45.07898127140445,6.693445402844045,30.7494,2.9816731731183266,2.1416136179512733,False,True,False,False,False,0,1.8248549987883753,0.520465884703598,-0.12066664188953619
Indiana Jones and the Temple of Doom,7.298,9.164505835632383,118.0,17.147715103853763,9.9489,7.5,553846.0,1984,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5482177752441848,66.88256358844514,6.502195969284424,72.6070722,2.8985446631912657,2.318901831597798,False,True,False,False,False,3,9.108107406564955,-1.358524281166272,-0.043089431808178064
