genres,original_language,popularity,production_companies,release_date,budget,runtime,vote_average
Action-Science Fiction-Horror,en,8763.998,Apelles Entertainment-Warner Bros. Pictures-di Bonaventura Pictures-CMC Pictures-Gravity Pictures-China Film Group Corporation,2023-08-02,129000000.0,116.0,7.079
Horror-Mystery-Thriller,en,5953.227,Screen Gems-2.0 Entertainment-Jesus & Mary-Worldwide Katz-Loyola Productions-FFILME.RO,2023-04-05,18000000.0,103.0,7.433
Action-Comedy-Science Fiction,en,5410.496,Marvel Studios-Maximum Effort-21 Laps Entertainment-20th Century Studios-Kevin Feige Productions-TSG Entertainment,2024-07-24,200000000.0,128.0,7.765
Action-Adventure-Science Fiction,en,5409.104,Skydance-Paramount-di Bonaventura Pictures-Bay Films-New Republic Pictures-Tom DeSanto/Don Murphy Production-Hasbro,2023-06-06,200000000.0,127.0,7.34
Science Fiction-Adventure,en,4742.163,Legendary Pictures,2024-02-27,190000000.0,167.0,8.3
Science Fiction-Action-Adventure,en,4674.885,Columbia Pictures-Pascal Pictures-Matt Tolmach Productions-Hutch Parker Entertainment-Arad Productions,2024-10-22,120000000.0,109.0,6.522
Action-Adventure-Science Fiction,en,4425.387,Marvel Studios-Kevin Feige Productions,2023-02-15,200000000.0,125.0,6.507
Drama-Action,en,3994.342,Metro-Goldwyn-Mayer-Proximity Media-Balboa Productions-Outlier Society Productions-Chartoff-Winkler Productions,2023-03-01,75000000.0,116.0,7.262
Horror-Mystery-Thriller,en,3512.648,Blumhouse Productions-Stage 6 Films-Screen Gems-Atomic Monster-Oren Peli Productions,2023-07-05,16000000.0,107.0,6.75
Animation-Family-Comedy-Action,en,3195.72,Universal Pictures-Illumination-dentsu-Fuji Television Network,2024-06-20,100000000.0,94.0,7.35
Action-Adventure-Animation-Science Fiction,en,2550.738,Columbia Pictures-Sony Pictures Animation-Lord Miller-Pascal Pictures-Arad Productions,2023-05-31,100000000.0,140.0,8.64
Science Fiction-Adventure-Action,en,2419.072,20th Century Studios-Oddball Entertainment-Jason T. Reed Productions,2024-05-08,160000000.0,145.0,6.868
Comedy-Fantasy-Horror,en,2384.404,Warner Bros. Pictures-Geffen Pictures-Plan B Entertainment-Tim Burton Productions-Domain Entertainment-Tommy Harper Productions,2024-09-04,100000000.0,105.0,7.196
Action-Adventure-Fantasy,en,2141.691,Warner Bros. Pictures-The Safran Company-Atomic Monster-DC Films-Domain Entertainment,2023-12-20,205000000.0,124.0,6.786
Action-Comedy-Fantasy-Adventure,en,2010.98,New Line Cinema-The Safran Company-DC Films,2023-03-15,125000000.0,130.0,6.781
Fantasy-Action-Adventure,en,1882.774,Stage 6 Films-Toei Animation,2023-04-27,60000000.0,113.0,6.561
Action-Adventure-Science Fiction,en,1872.179,Warner Bros. Pictures-Kennedy Miller Mitchell-Domain Entertainment,2024-05-22,170000000.0,149.0,7.652
History-War-Drama,en,1811.36,Scott Free Productions-Latina Pictures-Apple Studios,2023-11-22,165000000.0,158.0,6.516
Action-Crime-Thriller-Comedy,en,1715.076,Westbrook Studios-Columbia Pictures-Don Simpson/Jerry Bruckheimer Films,2024-06-05,100000000.0,115.0,6.995
Horror-Mystery-Thriller,en,1696.62,New Line Cinema-Atomic Monster-The Safran Company,2023-09-06,38500000.0,110.0,7.004
Science Fiction-Action-Thriller,en,1595.817,New Regency Pictures-Entertainment One-Regency Enterprises-Bad Dreams,2023-09-27,80000000.0,134.0,7.186
Horror-Science Fiction,en,1496.056,20th Century Studios-Scott Free Productions-Brandywine Productions,2024-08-13,80000000.0,119.0,7.213
Fantasy-Action-Adventure,en,1486.614,PCMA Productions-Roth-Kirschenbaum Films,2024-03-07,60000000.0,110.0,7.173
Drama-Horror-Science Fiction,en,1453.916,Working Title Films-Blacksmith,2024-09-07,17500000.0,141.0,7.297
War-Drama-History-Action,no,1383.465,Nordisk Film Norway,2022-12-25,8000000.0,108.0,7.0
Drama-Science Fiction-Action,en,1329.764,Lionsgate-Color Force,2023-11-15,100000000.0,157.0,7.3
Comedy-Fantasy-Family,en,1311.852,Paramount Pictures-Sunday Night-Maximum Effort,2024-05-08,110000000.0,104.0,7.5
Horror-Science Fiction-Thriller,en,1131.329,Paramount Pictures-Platinum Dunes-Sunday Night Productions,2024-06-26,67000000.0,99.0,6.79
Action-Mystery-Thriller-Crime,en,955.039,StudioCanal-The Picture Company-Ombra Films,2023-08-23,20000000.0,93.0,6.836
Science Fiction-Action-Adventure,en,923.889,The Stone Quarry-Grand Electric,2023-12-15,83000000.0,134.0,6.453
Animation-Family-Fantasy-Adventure-Comedy,en,904.25,DreamWorks Animation-Universal Pictures,2022-12-07,90000000.0,103.0,8.284
Animation-Comedy-Family-Adventure-Action,en,813.181,Alcon Entertainment-DNEG-Wayfarer Studios-One Cool Group-Stage 6 Films-Andrews McMeel Entertainment-John Cohen Productions,2024-04-30,60000000.0,101.0,7.179
Animation-Action-Adventure-Comedy-Family,en,800.053,Illumination,2023-12-06,72000000.0,83.0,7.563
War-Action-Thriller,en,794.125,STX Films-Toff Guy Films,2023-04-19,55000000.0,123.0,7.662
Action-Adventure-Thriller,en,750.624,Millennium Media-Campbell Grobman Films-Lionsgate,2023-09-15,100000000.0,103.0,6.431
Animation-Comedy-Action,en,729.356,Paramount-Nickelodeon Movies-Point Grey Pictures-Mikros Animation-Cinesite Animation,2023-07-31,70000000.0,100.0,7.248
Action-War,fi,700.136,Subzero Film Entertainment-Good Chaos-Stage 6 Films,2023-01-27,6200000.0,91.0,7.428
Action-Thriller-Crime,en,659.169,Thunder Road-87Eleven-Summit Entertainment-Studio Babelsberg,2023-03-22,90000000.0,170.0,7.827
Thriller-Horror,en,596.615,New Line Cinema-Ghost House Pictures-Renaissance Pictures-Pacific Renaissance Pictures-Wild Atlantic Pictures,2023-04-12,15000000.0,96.0,7.038
Horror-Thriller,en,583.976,Miramax-Outerbanks Entertainment,2024-05-30,22000000.0,96.0,4.568
Action-Crime-Thriller,en,554.411,Universal Pictures-Original Film-One Race-Perfect Storm Entertainment,2023-05-17,340000000.0,142.0,7.1
Action-Adventure-Drama,en,523.435,Universal Pictures-Warner Bros. Pictures-Amblin Entertainment-Domain Entertainment,2024-07-10,155000000.0,123.0,7.145
Action-Comedy,en,512.661,87North Productions-Entertainment 360-Universal Pictures,2024-04-24,125000000.0,126.0,7.227
Drama-Horror,en,508.27,A24-Fruit Tree-Smudge Films-Hypnic Jerk-Access Entertainment,2024-05-03,10000000.0,100.0,6.007
Horror,en,492.742,Blumhouse Productions-Morgan Creek-Rough House Pictures-Universal Pictures,2023-10-04,30000000.0,111.0,5.494
Action-Thriller-Drama,es,488.599,Born to Burn Films-Millenium Media Group-Millennium Films,2022-09-22,1261569.0,91.0,7.3
Fantasy-Adventure-Comedy,en,478.162,Ghost Corps-Columbia Pictures,2024-03-20,100000000.0,115.0,6.7
Adventure-Action-Science Fiction,en,459.47,Marvel Studios,2017-04-19,200000000.0,137.0,7.623
