title,popularity,budget,runtime,vote_average,vote_count,release_year,release_month,Action,Adventure,Comedy,Crime,Drama,Family,Fantasy,Horror,Mystery,Outros,Romance,Science Fiction,Thriller,popularity_per_budget,vote_weighted,runtime_per_budget,vote_popularity_weighted,budget_log,vote_count_log,continent_Africa,continent_America_do_Norte,continent_Asia,continent_Europa,continent_Outros
Murder on the Orient Express,40.764,17.822843761378564,114.0,6.705,9.125762395500885,2017,11,0,0,0,1,1,0,0,0,1,0,0,0,0,2.1656663847808773,61.18823686183344,6.056470608012462,273.32262000000003,2.9350712258973797,2.3150829084789017,False,True,False,False,False
Bruce Almighty,40.739,18.197537205138154,101.0,6.701,9.189525232262262,2003,5,0,0,1,0,0,0,1,0,0,0,0,0,0,2.1220951190080957,61.57900858138942,5.261091509850946,272.992039,2.954782000240642,2.321360254614598,False,True,False,False,False
Army of Darkness,40.739,16.213405921671733,81.0,7.3,8.014996894348302,1992,10,0,0,1,0,0,0,1,1,0,0,0,0,0,2.3667018709359238,58.509477328742605,4.705634687788356,297.3947,2.845688494284694,2.198889512156974,False,True,False,False,False
Planet of the Apes,40.679,18.420680753952364,119.0,5.725,8.161089512845797,2001,7,1,1,0,0,0,0,0,0,0,0,0,1,1,2.0946227640203237,46.722237461042184,6.127488603909105,232.887275,2.966338516520284,2.214965114063361,False,True,False,False,False
Halloween III: Season of the Witch,40.645,14.731801689838349,99.0,5.2,7.1891677384203225,1982,10,0,0,0,0,0,0,0,1,0,0,0,1,1,2.5836201600643016,37.38367223978568,6.29298550489275,211.354,2.755684248962421,2.1028122734608954,False,True,False,False,False
Underdogs,40.64,16.906553056777135,106.0,6.638,5.955837369464831,2013,7,0,1,0,0,0,0,0,0,0,1,1,0,0,2.2695601923575617,39.53484845850755,5.919620580460176,269.76832,2.8851667384085613,1.9395812163258002,False,False,False,True,False
Hitman's Wife's Bodyguard,40.63,18.064005814299346,117.0,6.733,7.490529402060711,2021,6,1,0,1,0,0,0,0,0,0,0,0,0,1,2.1312414817626966,50.43373446407477,6.137220117308281,273.56179000000003,2.94780204478482,2.1389513543345293,False,True,False,False,False
12 Strong,40.629,17.370858648025116,130.0,6.2,7.8504931808711405,2018,1,1,0,0,0,1,0,0,0,0,1,0,0,0,2.211600490669915,48.67305772140107,7.076424814469688,251.8998,2.910765639997766,2.1804731841192724,False,True,False,False,False
The Game Plan,40.585,16.906553056777135,110.0,6.4,7.455298485683291,2007,9,0,0,1,0,0,1,0,0,0,0,0,0,0,2.2664886911129836,47.713910308373066,6.143002489156786,259.744,2.8851667384085613,2.134793284587648,False,True,False,False,False
Bumblebee,40.543,18.72078534381011,113.0,6.7,8.577911926450943,2018,12,1,1,0,0,0,0,0,0,0,0,0,1,0,2.0558511891477735,57.47200990722132,5.729994928192251,271.6381,2.9816731731183266,2.259459606477319,False,True,False,False,False
Blade,40.475,17.622173069956816,121.0,6.747,8.546169299652755,1998,8,1,0,0,0,0,0,0,1,0,0,0,0,0,2.1734842570708564,57.66100426475714,6.497630515270504,273.084825,2.92435297126682,2.2561399535671005,False,True,False,False,False
John Q,40.47,17.399029524198163,116.0,7.1,7.620705086838262,2002,2,0,0,0,1,1,0,0,0,0,0,0,0,1,2.199572534343422,54.10700611655166,6.304680355419742,287.337,2.912297919973866,2.1541668779474086,False,True,False,False,False
Star Trek Into Darkness,40.468,19.06253463538792,132.0,7.331,9.028338763993148,2013,5,1,1,0,0,0,0,0,0,0,0,0,1,0,2.0170930909506954,66.18675147883377,6.579427893780068,296.67090800000005,2.99885412726322,2.3054149615357007,False,True,False,False,False
Jaws,40.454,15.76142084987672,124.0,7.654,9.125326997649227,1975,6,0,1,0,0,0,0,0,1,0,0,0,0,1,2.4135185413173095,69.84525284000718,7.397940849442487,309.634916,2.819079867706262,2.3150399085352174,False,True,False,False,False
Twins,40.429,16.52356082573315,107.0,5.974,7.560601162768557,1988,12,0,0,1,0,0,0,0,0,0,0,0,0,0,2.307122416616974,45.16703134637936,6.106064918202682,241.52284600000002,2.8635463083350072,2.1471704169830814,False,True,False,False,False
Death Proof,40.413,17.034386422832473,113.0,6.837,8.497194544909547,2007,5,1,0,0,0,0,0,0,0,0,0,0,0,1,2.2408857752340845,58.09531910354657,6.265807848995412,276.303681,2.8922802923091946,2.2509964439314443,False,True,False,False,False
Asterix & Obelix: Mission Cleopatra,40.288,17.8845373292961,108.0,7.4,7.991253929840199,2002,1,0,1,1,0,0,1,1,0,0,0,0,0,0,2.1333855999479594,59.135279080817476,5.718964574920066,298.1312,2.9383434564889335,2.196252319273177,False,False,False,True,False
The A-Team,40.259,18.5159909328476,117.0,6.391,8.330140460246382,2010,6,1,1,1,1,0,0,0,0,0,0,0,0,1,2.062872448471965,53.23792768143463,5.995083744534636,257.295269,2.9712341773525197,2.233250069434719,False,True,False,False,False
Forever My Girl,40.258,15.068273812173887,104.0,7.606,6.97166860472579,2018,1,0,0,0,0,1,0,0,0,0,1,1,0,0,2.5054340292296446,53.026511407544355,6.472381614583016,306.20234800000003,2.7768467571891517,2.075893831582556,False,True,False,False,False
The Emoji Movie,40.256,17.72753358339242,86.0,5.5,7.894318063841624,2017,7,0,0,1,0,0,1,0,0,0,1,0,0,0,2.1495622913045542,43.41874935112893,4.5921690444205,221.40800000000002,2.9299948251044747,2.1854126530683247,False,True,False,False,False
Shin Ultraman,40.208,15.59046307836746,118.0,7.1,4.204692619390966,2022,5,1,0,0,0,1,0,0,0,0,0,0,1,0,2.423561042875758,29.853317597675854,7.112519972625832,285.47679999999997,2.808828016915108,1.6495606454510718,False,False,True,False,False
Teenage Mutant Ninja Turtles III,40.173,16.860033043306743,96.0,5.344,6.570882962339584,1993,3,1,1,1,0,0,1,1,0,0,0,0,1,0,2.249323945962984,35.11479855074274,5.375130032918787,214.684512,2.8825654255757986,2.0243097003224575,False,True,False,False,False
Mortal Engines,40.056,18.420680753952364,129.0,6.2,8.414938957377482,2018,11,0,1,0,0,0,0,0,0,0,0,0,1,0,2.0625435589763286,52.17262153574039,6.642403612640963,248.3472,2.966338516520284,2.242297678538175,False,True,False,False,False
Independence Day,40.04,18.132998684833918,145.0,6.872,9.110409533351133,1996,6,1,1,0,0,0,0,0,0,0,0,0,1,0,2.0927195292047114,62.60673431318899,7.578529763603475,275.15488,2.9514145241647625,2.3135655399618282,False,True,False,False,False
The Ring,40.024,17.6867115897055,115.0,6.646,8.595264726836392,2002,10,0,0,0,0,0,0,0,1,1,0,0,0,0,2.1418428709548447,57.12412937455466,6.154105790520867,265.999504,2.927812661081278,2.2612697191610223,False,True,False,False,False
Kick-Ass,40.013,17.147715103853763,117.0,7.116,9.272093768251665,2010,3,1,0,0,1,0,0,0,0,0,0,0,0,0,2.2048505704998105,65.98021925487885,6.447092613612522,284.732508,2.8985446631912657,2.3294308754351136,False,True,False,False,False
The Gentlemen,39.963,16.906553056777135,113.0,7.679,8.570544366913232,2020,1,1,0,1,1,0,0,0,0,0,0,0,0,0,2.2317528043106605,65.81321019352671,6.310538920679244,306.875877,2.8851667384085613,2.2586900864921673,False,True,False,False,False
Thunderball,39.949,15.520258832020865,130.0,6.6,7.642524134232902,1965,12,1,1,0,0,0,0,0,0,0,0,0,0,1,2.418182451389182,50.44065928593715,7.8691261027959065,263.66339999999997,2.8045874357679663,2.15669468531572,False,True,False,False,False
