popularity,budget,revenue,runtime,vote_count,vote_average,release_year,release_month,release_day_of_week,profit,roi,num_production_companies,num_keywords,has_tagline,overview_length,genre_Action,genre_Adventure,genre_Animation,genre_Comedy,genre_Crime,genre_Documentary,genre_Drama,genre_Family,genre_Fantasy,genre_History,genre_Horror,genre_Music,genre_Mystery,genre_Romance,genre_Science Fiction,genre_TV Movie,genre_Thriller,genre_War,genre_Western
8763.998,129000000.0,352056482.0,116.0,1365.0,7.079,2023.0,8.0,2.0,223056482.0,1.729120015503876,0,0,1,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
5953.227,18000000.0,65675816.0,103.0,545.0,7.433,2023.0,4.0,2.0,47675816.0,2.6486564444444443,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
5410.496,200000000.0,1326387384.0,128.0,3749.0,7.765,2024.0,7.0,2.0,1126387384.0,5.63193692,0,0,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5409.104,200000000.0,407045464.0,127.0,1007.0,7.34,2023.0,6.0,1.0,207045464.0,1.03522732,0,0,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4742.163,190000000.0,683813734.0,167.0,2770.0,8.3,2024.0,2.0,1.0,493813734.0,2.5990196526315787,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4674.885,120000000.0,310000000.0,109.0,603.0,6.522,2024.0,10.0,1.0,190000000.0,1.5833333333333333,0,0,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4425.387,200000000.0,475766228.0,125.0,2811.0,6.507,2023.0,2.0,2.0,275766228.0,1.37883114,0,0,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3994.342,75000000.0,269000000.0,116.0,1129.0,7.262,2023.0,3.0,2.0,194000000.0,2.5866666666666664,0,0,1,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3512.648,16000000.0,175582093.0,107.0,564.0,6.75,2023.0,7.0,2.0,159582093.0,9.9738808125,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
3195.72,100000000.0,810329715.0,94.0,984.0,7.35,2024.0,6.0,3.0,710329715.0,7.10329715,0,0,1,3,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2550.738,100000000.0,512609552.0,140.0,1684.0,8.64,2023.0,5.0,2.0,412609552.0,4.12609552,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2419.072,160000000.0,391407919.0,145.0,1283.0,6.868,2024.0,5.0,2.0,231407919.0,1.44629949375,0,0,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2384.404,100000000.0,402822428.0,105.0,1044.0,7.196,2024.0,9.0,2.0,302822428.0,3.02822428,0,0,1,3,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
2141.691,205000000.0,397860076.0,124.0,756.0,6.786,2023.0,12.0,2.0,192860076.0,0.9407808585365853,0,0,1,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2010.98,125000000.0,133437105.0,130.0,1602.0,6.781,2023.0,3.0,2.0,8437105.0,0.06749684,0,0,1,3,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1882.774,60000000.0,6794519.0,113.0,471.0,6.561,2023.0,4.0,3.0,-53205481.0,-0.8867580166666666,0,0,1,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1872.179,170000000.0,172775791.0,149.0,2229.0,7.652,2024.0,5.0,2.0,2775791.0,0.016328182352941176,0,0,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1811.36,165000000.0,213400000.0,158.0,1282.0,6.516,2023.0,11.0,2.0,48400000.0,0.29333333333333333,0,0,1,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
1715.076,100000000.0,331957666.0,115.0,465.0,6.995,2024.0,6.0,2.0,231957666.0,2.31957666,0,0,1,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1696.62,38500000.0,257010000.0,110.0,1073.0,7.004,2023.0,9.0,2.0,218510000.0,5.6755844155844155,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
1595.817,80000000.0,102000000.0,134.0,796.0,7.186,2023.0,9.0,2.0,22000000.0,0.275,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1496.056,80000000.0,225439383.0,119.0,628.0,7.213,2024.0,8.0,1.0,145439383.0,1.8179922875,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1486.614,60000000.0,5000.0,110.0,1295.0,7.173,2024.0,3.0,3.0,-59995000.0,-0.9999166666666667,0,0,1,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1453.916,17500000.0,46818041.0,141.0,1930.0,7.297,2024.0,9.0,5.0,29318041.0,1.6753166285714285,0,0,1,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
1329.764,100000000.0,322300000.0,157.0,1211.0,7.3,2023.0,11.0,2.0,222300000.0,2.223,0,0,1,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1311.852,110000000.0,176438104.0,104.0,285.0,7.5,2024.0,5.0,2.0,66438104.0,0.6039827636363636,0,0,1,3,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1131.329,67000000.0,244911350.0,99.0,546.0,6.79,2024.0,6.0,2.0,177911350.0,2.6553932835820895,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
955.039,20000000.0,12905464.0,93.0,341.0,6.836,2023.0,8.0,2.0,-7094536.0,-0.3547268,0,0,1,3,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
904.25,90000000.0,480000000.0,103.0,5759.0,8.284,2022.0,12.0,2.0,390000000.0,4.333333333333333,0,0,1,3,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
813.181,60000000.0,221871392.0,101.0,815.0,7.179,2024.0,4.0,1.0,161871392.0,2.6978565333333333,0,0,1,3,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
800.053,72000000.0,289076685.0,83.0,1009.0,7.563,2023.0,12.0,2.0,217076685.0,3.0149539583333334,0,0,1,3,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
794.125,55000000.0,20000000.0,123.0,657.0,7.662,2023.0,4.0,2.0,-35000000.0,-0.6363636363636364,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
750.624,100000000.0,58000000.0,103.0,815.0,6.431,2023.0,9.0,4.0,-42000000.0,-0.42,0,0,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
729.356,70000000.0,161000000.0,100.0,435.0,7.248,2023.0,7.0,0.0,91000000.0,1.3,0,0,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
700.136,6200000.0,10568631.0,91.0,858.0,7.428,2023.0,1.0,4.0,4368631.0,0.7046179032258064,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
659.169,90000000.0,426978565.0,170.0,4159.0,7.827,2023.0,3.0,2.0,336978565.0,3.744206277777778,0,0,1,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
596.615,15000000.0,141512122.0,96.0,1937.0,7.038,2023.0,4.0,2.0,126512122.0,8.434141466666667,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
583.976,22000000.0,6354317.0,96.0,110.0,4.568,2024.0,5.0,3.0,-15645683.0,-0.7111674090909091,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
554.411,340000000.0,704709660.0,142.0,5161.0,7.1,2023.0,5.0,2.0,364709660.0,1.0726754705882353,0,0,1,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
523.435,155000000.0,274535650.0,123.0,320.0,7.145,2024.0,7.0,2.0,119535650.0,0.7711977419354838,0,0,1,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
512.661,125000000.0,177843881.0,126.0,1606.0,7.227,2024.0,4.0,2.0,52843881.0,0.422751048,0,0,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
508.27,10000000.0,4184000.0,100.0,76.0,6.007,2024.0,5.0,4.0,-5816000.0,-0.5816,0,0,1,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
492.742,30000000.0,46561805.0,111.0,82.0,5.494,2023.0,10.0,2.0,16561805.0,0.5520601666666667,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
478.162,100000000.0,108500000.0,115.0,139.0,6.7,2024.0,3.0,2.0,8500000.0,0.085,0,0,1,3,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
